FolioUrn,Sequence,Label,DefaultImage
urn:cite:musicmss:sg339.142,142,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 142.",urn:cite:musicmss:sg339.142
urn:cite:musicmss:sg339.143,143,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 143.",urn:cite:musicmss:sg339.143
urn:cite:musicmss:sg339.144,144,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 144.",urn:cite:musicmss:sg339.144
urn:cite:musicmss:sg339.145,145,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 145.",urn:cite:musicmss:sg339.145
urn:cite:musicmss:sg339.146,146,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 146.",urn:cite:musicmss:sg339.146
urn:cite:musicmss:sg339.147,147,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 147.",urn:cite:musicmss:sg339.147
urn:cite:musicmss:sg339.148,148,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 148.",urn:cite:musicmss:sg339.148
urn:cite:musicmss:sg339.149,149,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 149.",urn:cite:musicmss:sg339.149
urn:cite:musicmss:sg339.150,150,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 150.",urn:cite:musicmss:sg339.150
urn:cite:musicmss:sg339.151,151,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 151.",urn:cite:musicmss:sg339.151
urn:cite:musicmss:sg339.152,152,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 152.",urn:cite:musicmss:sg339.152
urn:cite:musicmss:sg339.153,153,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 153.",urn:cite:musicmss:sg339.153
urn:cite:musicmss:sg339.154,154,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 154.",urn:cite:musicmss:sg339.154
urn:cite:musicmss:sg339.155,155,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 155.",urn:cite:musicmss:sg339.155
urn:cite:musicmss:sg339.156,156,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 156.",urn:cite:musicmss:sg339.156
urn:cite:musicmss:sg339.157,157,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 157.",urn:cite:musicmss:sg339.157
urn:cite:musicmss:sg339.158,158,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 158.",urn:cite:musicmss:sg339.158
urn:cite:musicmss:sg339.159,159,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 159.",urn:cite:musicmss:sg339.159
urn:cite:musicmss:sg339.160,160,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 160.",urn:cite:musicmss:sg339.160
urn:cite:musicmss:sg339.161,161,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 161.",urn:cite:musicmss:sg339.161
urn:cite:musicmss:sg339.162,162,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 162.",urn:cite:musicmss:sg339.162
urn:cite:musicmss:sg339.163,163,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 163.",urn:cite:musicmss:sg339.163
urn:cite:musicmss:sg339.164,164,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 164.",urn:cite:musicmss:sg339.164
urn:cite:musicmss:sg339.165,165,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 165.",urn:cite:musicmss:sg339.165
urn:cite:musicmss:sg339.166,166,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 166.",urn:cite:musicmss:sg339.166
urn:cite:musicmss:sg339.167,167,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 167.",urn:cite:musicmss:sg339.167
urn:cite:musicmss:sg339.168,168,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 168.",urn:cite:musicmss:sg339.168
urn:cite:musicmss:sg339.169,169,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 169.",urn:cite:musicmss:sg339.169
urn:cite:musicmss:sg339.170,170,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 170.",urn:cite:musicmss:sg339.170
urn:cite:musicmss:sg339.171,171,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 171.",urn:cite:musicmss:sg339.171
urn:cite:musicmss:sg339.172,172,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 172.",urn:cite:musicmss:sg339.172
urn:cite:musicmss:sg339.173,173,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 173.",urn:cite:musicmss:sg339.173
urn:cite:musicmss:sg339.174,174,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 174.",urn:cite:musicmss:sg339.174
urn:cite:musicmss:sg339.175,175,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 175.",urn:cite:musicmss:sg339.175
urn:cite:musicmss:sg339.176,176,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 176.",urn:cite:musicmss:sg339.176
urn:cite:musicmss:sg339.177,177,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 177.",urn:cite:musicmss:sg339.177
urn:cite:musicmss:sg339.178,178,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 178.",urn:cite:musicmss:sg339.178
urn:cite:musicmss:sg339.179,179,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 179.",urn:cite:musicmss:sg339.179
urn:cite:musicmss:sg339.180,180,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 180.",urn:cite:musicmss:sg339.180
urn:cite:musicmss:sg339.181,181,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 181.",urn:cite:musicmss:sg339.181
urn:cite:musicmss:sg339.182,182,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 182.",urn:cite:musicmss:sg339.182
urn:cite:musicmss:sg339.183,183,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 183.",urn:cite:musicmss:sg339.183
urn:cite:musicmss:sg339.184,184,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 184.",urn:cite:musicmss:sg339.184
urn:cite:musicmss:sg339.185,185,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 185.",urn:cite:musicmss:sg339.185
urn:cite:musicmss:sg339.186,186,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 186.",urn:cite:musicmss:sg339.186
urn:cite:musicmss:sg339.187,187,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 187.",urn:cite:musicmss:sg339.187
urn:cite:musicmss:sg339.188,188,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 188.",urn:cite:musicmss:sg339.188
urn:cite:musicmss:sg339.189,189,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 189.",urn:cite:musicmss:sg339.189
urn:cite:musicmss:sg339.190,190,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 190.",urn:cite:musicmss:sg339.190
urn:cite:musicmss:sg339.191,191,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 191.",urn:cite:musicmss:sg339.191
urn:cite:musicmss:sg339.192,192,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 192.",urn:cite:musicmss:sg339.192
urn:cite:musicmss:sg339.193,193,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 193.",urn:cite:musicmss:sg339.193
urn:cite:musicmss:sg339.194,194,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 194.",urn:cite:musicmss:sg339.194
urn:cite:musicmss:sg339.195,195,"St. Gallen, Stiftsbibliothek, Cod. Sang. 339, page 195.",urn:cite:musicmss:sg339.195
